Designated Use,Production Area,Classification Zone,Species(a),Classification,Explanatory Note(b),Local Authority,RMP ID,RMP Name,England or Wales
Production,Anglesey - East,Anglesey Mussels,Mytilus spp.,A,1,Gwynedd CC,B104A,Anglesey Mussels,Wales
Production,Anglesey – Red Wharf Bay,Red Wharf Bay,C. edule,B-LT,N/A,Ynys Mon CC,B057J,Nodwydd,Wales
Production,Bigbury and Avon,West Bank,C. gigas,B ,N/A,South Hams DC,B030I,West Bank North,England
Production,Bigbury and Avon,South Hexdown,C. gigas,B ,N/A,South Hams DC,B030J,South Hexdown North,England
Production,Bigbury and Avon,East Bank,C. gigas,B ,N/A,South Hams DC,B030K,East Bank North,England
Production,Bigbury and Avon,South Hexdown,Mytilus spp.,C,1,South Hams DC,B030L,South Hexdown North (M. sp),England
Production,Blackwater,St Peters & Batchelor,C. gigas,A,N/A,Maldon DC,B014A,Bachelor Spit,England
Production,Blackwater,St Peters & Batchelor,O. edulis,A,N/A,Maldon DC,B014A,Bachelor Spit,England
Production,Blackwater,Osea South,C. gigas,B-LT,4,Maldon DC,B014U,North Double Buoy,England
Production,Blackwater,Osea South,O. edulis,B-LT,4,Maldon DC,B014U,North Double Buoy,England
Production,Blackwater,Goldhanger,C. gigas,B-LT,N/A,Maldon DC,B014V,Goldhanger,England
Production,Blackwater,Goldhanger,O. edulis,B-LT,N/A,Maldon DC,B014V,Goldhanger,England
Production,Blackwater,Goldhanger,M. mercenaria,B-LT,N/A,Maldon DC,B014V,Goldhanger,England
Production,Blackwater,Central Blackwater,C. gigas,B-LT,N/A,Maldon DC,B014W,Ramsey Marsh,England
Production,Blackwater,Central Blackwater,O. edulis,B-LT,N/A,Maldon DC,B014W,Ramsey Marsh,England
Production,Blackwater,Central Blackwater,M. mercenaria,B-LT,N/A,Maldon DC,B014W,Ramsey Marsh,England
Production,Blackwater,Outer Blackwater,C. gigas,Seasonal A/B,"Class A season - 1st June to 31st March 
(reverting to class B at all other times)",Maldon DC,B014X,Bradwell,England
Production,Blackwater,Outer Blackwater,O. edulis,Seasonal A/B,"Class A season - 1st June to 31st March 
(reverting to class B at all other times)",Maldon DC,B014X,Bradwell,England
Production,Blackwater,Outer Blackwater,M. mercenaria,Seasonal A/B,"Class A season - 1st June to 31st March 
(reverting to class B at all other times)",Maldon DC,B014X,Bradwell,England
Production,Blackwater,Ray Channel,C. gigas,A,N/A,Maldon DC,B014Y,Ray Channel,England
Production,Blackwater,Ray Channel,O. edulis,A,N/A,Maldon DC,B014Y,Ray Channel,England
Production,Blackwater,Buxey Sands and Dengie Flats,C. edule,Seasonal A/B,"Class A season - 1st November – 31st July 
(reverting to class B at all other times)",Maldon DC,B14AA,Buxey Sands,England
Production,Blackwater,St Peter’s Flats,C. gigas,A,N/A,Maldon DC,B14AD,St Peters Flats South West,England
Production,Blakeney,Wells – The Pool,Mytilus spp.,B,N/A,North Norfolk DC,B006R,Wells - The Pool,England
Production,Brancaster,Brancaster,C. edule,B-LT,N/A,Kings Lynn and West Norfolk BC,B05AS,Norton Creek Mussels,England
Production,Brancaster,Brancaster,Mytilus spp.,B-LT,N/A,Kings Lynn and West Norfolk BC,B05AS,Norton Creek Mussels,England
Production,Brancaster,Brancaster,C. gigas,B-LT,N/A,Kings Lynn and West Norfolk BC,B05AT,Norton Creek Oysters,England
Production,Brixham,Brixham,Mytilus spp.,B-LT,N/A,Torbay BC,B082B,Fishcombe Cove SW Corner,England
Production,Brixham,Torquay Mussel Bed,Mytilus spp.,A,1,Torbay BC,B082C,Torquay Mussels NW,England
Production,Burry Inlet,Pwll,Mytilus spp.,B-LT,N/A,"Swansea C & CC, Carmarthenshire CC",B038G,Pwll,Wales
Production,Burry Inlet,"Southside: South East 4, Dalton's Point and South Mid",C. edule,Seasonal B/C,"Class B season  - 1 January - 31 May 
(reverting to class C at all other times)","Swansea C & CC, Carmarthenshire CC",B038I,South East 4,Wales
Production,Burry Inlet,Whiteford Point,Mytilus spp.,B,N/A,"Swansea C & CC, Carmarthenshire CC",B038L,Whiteford Point,Wales
Production,Burry Inlet,Whiteford Point,C. edule,B-LT,N/A,"Swansea C & CC, Carmarthenshire CC",B038T,Whiteford Point,Wales
Production,Burry Inlet,Northside: West,C. edule,B-LT,N/A,"Swansea C & CC, Carmarthenshire CC",B38AI,Burry Port,Wales
Production,Butley,Butley Oysterage,C. gigas,B-LT,N/A,Suffolk Coastal DC,B009E,Pumping Station Outfall,England
Production,Butley,Butley Oysterage,Mytilus spp.,C,1,Suffolk Coastal DC,B009F,Pumping Station Outfall,
Production,Camel,Gentle Jane,Mytilus spp.,B-LT,4,Cornwall PHA/Cornwall CC,B035B,Gentle Jane  ,England
Production,Camel,Longlands,C. gigas,B-LT,N/A,Cornwall PHA/Cornwall CC,B035I,Longlands,England
Production,Camel,Ball Hill,C. gigas,B-LT,N/A,Cornwall PHA/Cornwall CC,B035Q,Ball Hill Oyster B,England
Production,Camel,Ball Hill,Mytilus spp.,B-LT,N/A,Cornwall PHA/Cornwall CC,B035U,Ball Hill West,England
Production,Camel,Porthilly Rock,C. gigas,B-LT,N/A,Cornwall PHA/Cornwall CC,B35AC,Porthilley Rock B,England
Production,Camel,Gentle Jane,C. gigas,B-LT,N/A,Cornwall PHA/Cornwall CC,B35AD,Gentle Jane B,England
Production,Camel,Porthilly Cove,Mytilus spp.,B-LT,4,Cornwall PHA/Cornwall CC,B35AE,Porthilley Rock B,England
Production,Car y Mor,Carn ar Wig,Mytilus spp.,A,1,Pembrokeshire CC,B097A,Carn ar Wig,Wales
Production,Car y Mor,Porthllisky,Mytilus spp.,A,1,Pembrokeshire CC,B097D,Porthllisky,Wales
Production,Colne,Brightlingsea Creek Outer,C. gigas,B-LT,N/A,Tendring DC,B12AC,South Creek,England
Production,Colne,Brightlingsea Creek Outer,O. edulis,B-LT,N/A,Tendring DC,B12AC,South Creek,England
Production,Colne,Brightlingsea Creek Outer,M. mercenaria,B-LT,N/A,Tendring DC,B12AC,South Creek,England
Production,Colne,Brightlingsea Creek Inner,C. gigas,B-LT,N/A,Tendring DC,B12AD,Flag Creek,England
Production,Colne,Brightlingsea Creek Inner,O. edulis,B-LT,N/A,Tendring DC,B12AD,Flag Creek,England
Production,Colne,Brightlingsea Creek Inner,M. mercenaria,B-LT,N/A,Tendring DC,B12AD,Flag Creek,England
